TurnNumber,PlayerBalance
0,1000
1,1015.0
2,1025.0
3,1015.0
4,1025.0
5,1035.0
6,1045.0
7,1035.0
8,1045.0
9,1035.0
10,1045.0
11,1055.0
12,1065.0
13,1075.0
14,1065.0
15,1075.0
16,1090.0
17,1080.0
18,1090.0
19,1105.0
20,1115.0
21,1105.0
22,1105.0
23,1095.0
24,1105.0
25,1115.0
26,1130.0
27,1140.0
28,1130.0
29,1140.0
30,1130.0
31,1140.0
32,1140.0
33,1130.0
34,1140.0
35,1130.0
36,1120.0
37,1135.0
38,1125.0
39,1115.0
40,1105.0
41,1115.0
42,1130.0
43,1140.0
44,1130.0
45,1120.0
46,1120.0
47,1130.0
48,1140.0
49,1140.0
50,1130.0
51,1140.0
52,1130.0
53,1140.0
54,1130.0
55,1140.0
56,1150.0
57,1140.0
58,1140.0
59,1150.0
60,1140.0
61,1130.0
62,1140.0
63,1130.0
64,1130.0
65,1140.0
66,1130.0
67,1120.0
68,1110.0
69,1120.0
70,1110.0
71,1120.0
72,1120.0
73,1110.0
74,1100.0
75,1110.0
76,1100.0
77,1090.0
78,1080.0
79,1080.0
80,1070.0
81,1070.0
82,1080.0
83,1090.0
84,1100.0
85,1110.0
86,1125.0
87,1135.0
88,1145.0
89,1145.0
90,1135.0
91,1125.0
92,1135.0
93,1145.0
94,1145.0
95,1135.0
96,1135.0
97,1125.0
98,1115.0
99,1130.0
100,1120.0
101,1110.0
102,1100.0
103,1110.0
104,1100.0
105,1110.0
106,1120.0
107,1110.0
108,1100.0
109,1110.0
110,1120.0
111,1130.0
112,1140.0
113,1130.0
114,1140.0
115,1150.0
116,1140.0
117,1130.0
118,1120.0
119,1130.0
120,1145.0
121,1135.0
122,1150.0
123,1140.0
124,1150.0
125,1140.0
126,1130.0
127,1140.0
128,1150.0
129,1140.0
130,1140.0
131,1130.0
132,1140.0
133,1150.0
134,1140.0
135,1140.0
136,1140.0
137,1130.0
138,1120.0
139,1110.0
140,1100.0
141,1100.0
142,1110.0
143,1110.0
144,1120.0
145,1110.0
146,1100.0
147,1110.0
148,1120.0
149,1110.0
150,1100.0
151,1090.0
152,1100.0
153,1110.0
154,1120.0
155,1110.0
156,1120.0
157,1130.0
158,1140.0
159,1140.0
160,1150.0
161,1140.0
162,1150.0
163,1140.0
164,1130.0
165,1120.0
166,1110.0
167,1120.0
168,1130.0
169,1140.0
170,1155.0
171,1145.0
172,1135.0
173,1145.0
174,1155.0
175,1165.0
176,1165.0
177,1175.0
178,1165.0
179,1155.0
180,1145.0
181,1155.0
182,1155.0
183,1170.0
184,1160.0
185,1150.0
186,1140.0
187,1130.0
188,1140.0
189,1150.0
190,1150.0
191,1140.0
192,1150.0
193,1140.0
194,1140.0
195,1150.0
196,1140.0
197,1130.0
198,1120.0
199,1130.0
200,1120.0
201,1110.0
202,1110.0
203,1100.0
204,1100.0
205,1090.0
206,1100.0
207,1090.0
208,1100.0
209,1090.0
210,1100.0
211,1090.0
212,1100.0
213,1110.0
214,1120.0
215,1130.0
216,1120.0
217,1130.0
218,1120.0
219,1135.0
220,1145.0
221,1135.0
222,1145.0
223,1135.0
224,1135.0
225,1125.0
226,1125.0
227,1135.0
228,1125.0
229,1135.0
230,1135.0
231,1125.0
232,1125.0
233,1115.0
234,1115.0
235,1125.0
236,1115.0
237,1125.0
238,1115.0
239,1105.0
240,1105.0
241,1095.0
242,1095.0
243,1085.0
244,1095.0
245,1085.0
246,1095.0
247,1085.0
248,1075.0
249,1090.0
250,1100.0
251,1090.0
252,1100.0
253,1090.0
254,1100.0
255,1110.0
256,1100.0
257,1110.0
258,1120.0
259,1110.0
260,1120.0
261,1110.0
262,1120.0
263,1110.0
264,1125.0
265,1115.0
266,1105.0
267,1095.0
268,1085.0
269,1095.0
270,1085.0
271,1095.0
272,1110.0
273,1100.0
274,1110.0
275,1100.0
276,1090.0
277,1100.0
278,1110.0
279,1100.0
280,1110.0
281,1100.0
282,1110.0
283,1100.0
284,1115.0
285,1125.0
286,1135.0
287,1135.0
288,1125.0
289,1115.0
290,1125.0
291,1140.0
292,1130.0
293,1120.0
294,1130.0
295,1120.0
296,1130.0
297,1120.0
298,1120.0
299,1130.0
300,1120.0
301,1110.0
302,1100.0
303,1110.0
304,1100.0
305,1090.0
306,1105.0
307,1095.0
308,1085.0
309,1075.0
310,1065.0
311,1055.0
312,1045.0
313,1035.0
314,1025.0
315,1035.0
316,1045.0
317,1035.0
318,1045.0
319,1035.0
320,1025.0
321,1015.0
322,1005.0
323,995.0
324,1005.0
325,1020.0
326,1010.0
327,1000.0
328,1010.0
329,1000.0
330,1010.0
331,1000.0
332,990.0
333,990.0
334,1000.0
335,1010.0
336,1000.0
337,990.0
338,980.0
339,970.0
340,960.0
341,950.0
342,960.0
343,950.0
344,960.0
345,970.0
346,980.0
347,970.0
348,960.0
349,950.0
350,960.0
351,950.0
352,940.0
353,930.0
354,920.0
355,930.0
356,940.0
357,930.0
358,920.0
359,920.0
360,910.0
361,920.0
362,910.0
363,900.0
364,890.0
365,880.0
366,890.0
367,880.0
368,870.0
369,880.0
370,870.0
371,880.0
372,890.0
373,900.0
374,910.0
375,920.0
376,930.0
377,920.0
378,910.0
379,920.0
380,910.0
381,900.0
382,890.0
383,905.0
384,895.0
385,885.0
386,875.0
387,890.0
388,880.0
389,890.0
390,880.0
391,890.0
392,905.0
393,915.0
394,925.0
395,915.0
396,925.0
397,935.0
398,925.0
399,935.0
400,945.0
401,935.0
402,945.0
403,935.0
404,925.0
405,915.0
406,905.0
407,895.0
408,885.0
409,875.0
410,865.0
411,855.0
412,845.0
413,855.0
414,845.0
415,855.0
416,865.0
417,855.0
418,865.0
419,875.0
420,865.0
421,855.0
422,845.0
423,835.0
424,845.0
425,835.0
426,825.0
427,835.0
428,845.0
429,835.0
430,845.0
431,855.0
432,845.0
433,855.0
434,845.0
435,855.0
436,865.0
437,855.0
438,865.0
439,875.0
440,865.0
441,855.0
442,845.0
443,835.0
444,825.0
445,825.0
446,815.0
447,805.0
448,805.0
449,795.0
450,785.0
451,775.0
452,775.0
453,765.0
454,775.0
455,785.0
456,795.0
457,805.0
458,815.0
459,805.0
460,795.0
461,805.0
462,795.0
463,785.0
464,775.0
465,775.0
466,765.0
467,765.0
468,775.0
469,785.0
470,795.0
471,785.0
472,775.0
473,765.0
474,775.0
475,785.0
476,795.0
477,785.0
478,775.0
479,785.0
480,775.0
481,765.0
482,755.0
483,770.0
484,780.0
485,790.0
486,790.0
487,800.0
488,810.0
489,800.0
490,790.0
491,780.0
492,790.0
493,790.0
494,800.0
495,810.0
496,800.0
497,810.0
498,810.0
499,800.0
500,810.0
501,800.0
502,790.0
503,800.0
504,810.0
505,820.0
506,830.0
507,820.0
508,830.0
509,840.0
510,850.0
511,860.0
512,850.0
513,860.0
514,870.0
515,880.0
516,890.0
517,900.0
518,910.0
519,925.0
520,915.0
521,915.0
522,925.0
523,915.0
524,905.0
525,895.0
526,885.0
527,895.0
528,905.0
529,895.0
530,905.0
531,915.0
532,925.0
533,915.0
534,925.0
535,940.0
536,950.0
537,940.0
538,950.0
539,960.0
540,950.0
541,960.0
542,970.0
543,985.0
544,975.0
545,985.0
546,995.0
547,995.0
548,1005.0
549,995.0
550,1005.0
551,1015.0
552,1030.0
553,1040.0
554,1030.0
555,1040.0
556,1040.0
557,1030.0
558,1040.0
559,1030.0
560,1045.0
561,1035.0
562,1045.0
563,1045.0
564,1045.0
565,1035.0
566,1025.0
567,1015.0
568,1025.0
569,1015.0
570,1025.0
571,1035.0
572,1025.0
573,1035.0
574,1025.0
575,1035.0
576,1025.0
577,1015.0
578,1015.0
579,1025.0
580,1015.0
581,1005.0
582,1015.0
583,1025.0
584,1035.0
585,1025.0
586,1015.0
587,1005.0
588,995.0
589,985.0
590,995.0
591,985.0
592,995.0
593,985.0
594,995.0
595,1005.0
596,995.0
597,985.0
598,975.0
599,965.0
600,975.0
601,965.0
602,955.0
603,965.0
604,955.0
605,945.0
606,955.0
607,955.0
608,945.0
609,935.0
610,935.0
611,935.0
612,945.0
613,945.0
614,955.0
615,945.0
616,935.0
617,945.0
618,955.0
619,945.0
620,935.0
621,945.0
622,935.0
623,925.0
624,935.0
625,925.0
626,935.0
627,945.0
628,935.0
629,945.0
630,960.0
631,950.0
632,940.0
633,950.0
634,940.0
635,940.0
636,950.0
637,960.0
638,950.0
639,940.0
640,950.0
641,940.0
642,930.0
643,920.0
644,910.0
645,900.0
646,910.0
647,900.0
648,910.0
649,920.0
650,910.0
651,920.0
652,910.0
653,920.0
654,910.0
655,920.0
656,910.0
657,900.0
658,910.0
659,900.0
660,910.0
661,920.0
662,930.0
663,920.0
664,910.0
665,900.0
666,890.0
667,890.0
668,900.0
669,910.0
670,910.0
671,925.0
672,915.0
673,925.0
674,940.0
675,930.0
676,920.0
677,910.0
678,900.0
679,890.0
680,880.0
681,890.0
682,880.0
683,870.0
684,880.0
685,870.0
686,860.0
687,850.0
688,860.0
689,870.0
690,880.0
691,890.0
692,880.0
693,870.0
694,860.0
695,870.0
696,885.0
697,895.0
698,895.0
699,885.0
700,895.0
701,905.0
702,895.0
703,885.0
704,875.0
705,865.0
706,875.0
